"Sample"	"-30"	"-29"	"-28"	"-27"	"-26"	"-25"	"-24"	"-23"	"-22"	"-21"	"-20"	"-19"	"-18"	"-17"	"-16"	"-15"	"-14"	"-13"	"-12"	"-11"	"-10"	"-9"	"-8"	"-7"	"-6"	"-5"	"-4"	"-3"	"-2"	"-1"	"0"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	28""	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"	"43"	"44"	"45"	"46"	"47"	"48"	"49"	"50"	"51"	"52"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"60"	"61"	"62"	"63"	"64"	"65"	"66"	"67"	"68"	"69"	"70"	"71"	"72"	"73"	"74"	"75"	"76"	"77"	"78"	"79"	"80"
2020CONT.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70	140	296	296	296	250	257	258	253	244	244	253	249	252	247	247	237	232	232	221	219	221	221	186	199	178	150	144	127	118	101	106	119	142	154	157	152	106	100	114	113	103	98	98	93	91	83	85	81	67	77	62	62	62	62	62	62	62	62	62	62	100	104	95	81	75	93	106	132	140	144	147	140	119	108	108	100	111	121	113	109
2020CONT.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	175	206	206	268	286	183	183	183	183	183	183	183	183	183	183	183	183	183	183	201	232	232	158	158	196	198	186	172	172	158	144	131	132	163	163	183	155	140	124	124	139	129	129	121	106	91	95	95	85	78	72	72	78	98	100	88	85	80	78	81	85	104	129	131	127	134	124	111	103	100	95	93	95	91	86	81	81	81	80	72	72
2020EXCL.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75	75	70	73	73	73	73	72	75	81	96	103	109	113	113	93	93	93	91	95	104	96	100	101	95	96	83	83	93	93	101	109	114	124	142	136	73	73	73	73	73	77	83	83	83	81	86	96	72	72	60	60	60	62	63	63	63	67	63	70	75	80	80	83	85	85	88	98	118	118	111	101	98	98	98	95	83	83	78	75	72
2020EXCL.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44	45	81	81	78	113	113	113	113	122	132	134	152	144	142	131	126	134	134	126	129	134	134	131	139	139	134	118	124	118	111	104	95	95	91	96	93	91	86	81	96	113	111	101	103	100	95	86	101	101	101	100	100	100	95	68	65	60	62	65	68	77	77	75	80	98	98	100	100	96	106	106	111	118	134	144	149	149	145	142	157
2020EXCL.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	106	106	131	136	136	119	126	127	129	147	147	147	149	149	122	122	122	122	122	122	122	122	122	116	104	104	104	93	91	91	85	81	81	67	77	90	101	103	103	109	106	98	86	75	78	75	78	85	65	65	134	134	134	134	134	134	134	134	134	132	100	100	118	118	118	118	118	118	118	118	118	118	181	214	204	201	193	195	195	191	180
2020EXCL.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	62	70	111	113	129	136	154	158	172	188	180	167	150	149	145	144	139	132	132	127	129	118	108	83	77	73	81	96	124	142	145	139	127	116	101	96	104	104	98	98	86	77	80	91	96	111	127	127	129	126	113	109	103	88	75	75	65	67	62	60	70	77	83	95	96	96	103	98	90	81	81	75	73	72	67	62	59	67	73	72
2020EXCL.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	65	73	83	83	85	101	121	136	140	139	134	132	142	158	157	150	132	132	98	93	101	96	93	137	127	129	131	118	100	98	93	108	109	100	90	70	67	72	75	86	101	103	103	104	101	85	83	83	80	95	127	131	122	122	108	95	90	90	90	81	73	63	57	55	57	59	57	55	55	57	50	47	44	44	49	52	60	73	80	83
2020EXCL.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	136	136	140	152	167	163	147	132	136	145	162	150	145	145	145	113	113	113	73	73	68	88	85	83	90	86	78	93	106	109	104	98	104	109	96	93	91	91	86	60	52	52	62	65	63	50	45	44	57	62	73	93	152	172	178	176	150	139	129	106	104	100	96	101	101	83	83	83	75	78	83	98	101	101	111	106	106	109	108	132	150
2020EXCL.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	131	190	190	165	165	165	165	96	109	155	155	152	152	162	162	162	163	114	114	114	140	140	140	149	149	142	136	122	114	111	108	101	96	106	114	116	118	119	116	95	100	104	108	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	88	88	113	118	131	126	124	116	109	113	114	121	124	121	121	119	119	119	119	121	126	129
2020EXCL.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98	136	244	244	157	157	157	157	157	157	157	157	157	157	160	152	150	136	113	113	113	113	95	98	98	88	88	67	67	67	72	78	78	109	111	81	81	67	65	65	65	63	73	73	73	73	77	121	149	157	157	118	86	73	73	72	67	67	68	72	68	68	65	63	57	57	59	62	63	62	60	63	60	59	57	55	75	77	72	62	60
